burned_site_plot,latitude,longitude,elevation,slope,aspect,moisture_johnstone,moisture_class,stand_age_rings,stand_age_class,residual_sol_depth,burn_depth,prefire_sol_depth,bg_c_residual,bg_c_combusted,prefire_bg_c,tree_density,tree_c_prefire
SS33-3A,60.9377645,-117.3726535,227.547,0,-9999,mesic,Moist,90,old-burned,13.55,9.53,23.08,6970.04,3821.72,10791.76,3.13,2938.43
SS33-4A,60.942481,-117.3787555,229.535,0,-9999,mesic-subhygric,Wet,105,old-burned,19.4,6.83,26.23,8754.96,2929.55,11684.5,0.6,3125.83
ZF104-110A,63.1091395,-113.9700465,293.283,0,-9999,subhygric,Wet,56,young-burned,24.9,10,34.9,6958.69,2674.51,9633.2,0.83,549.25
ZF104-63B,63.0674515,-113.7326705,266.376,0,-9999,mesic-subhygric,Wet,40,young-burned,10.7,7.96,18.66,3309.66,3199.05,6508.71,0.88,163.68
ZF104-83B,63.0457815,-114.0243315,270.94,0,-9999,mesic,Moist,54,young-burned,5.95,13.76,19.71,3216.49,4133.52,7350.01,0.63,1129.18
ZF20-10A,61.804575,-116.7246355,238.162,0,-9999,mesic-subxeric,Moist,84,old-burned,7.95,5.31,13.26,2242.22,2092.95,4335.16,1.93,2414.58
ZF20-35A,61.632408,-117.1014555,214.816,0,-9999,mesic-subhygric,Wet,95,old-burned,18.6,9.74,28.34,4893.36,4702.79,9596.15,0.32,4110.36
ZF20-4A,61.862713,-116.597281,220.485,0,-9999,mesic-subxeric,Moist,150,old-burned,5.25,11.51,16.76,4714.52,5470.41,10184.94,0.87,2226.99
ZF20-52A,61.619818,-117.11774,208.967,0,-9999,mesic,Moist,93,old-burned,10.4,5.16,15.56,5427.8,1651.21,7079.01,1.33,3250.02
ZF20-8A,61.83902,-116.636117,247.046,0,-9999,xeric,Dry,89,old-burned,5.2,1.14,6.34,2374.69,289.8,2664.49,0,1496.15
ZF20-9A,61.7935855,-116.7318445,230.303,0,-9999,mesic-subxeric,Moist,85,old-burned,11.85,9.21,21.06,4194.58,4145.35,8339.93,1.58,1007.74
ZF26-104A,64.136594,-114.210953,384.436,0,-9999,mesic-subhygric,Wet,78,old-burned,31.15,10.95,42.1,11259.03,4505.06,15764.1,0.85,404.24
ZF26-112A,64.1329435,-114.291245,379.805,0,-9999,subxeric,Dry,59,young-burned,4.25,4.26,8.51,1325.38,1872.61,3197.99,0.07,11.16
ZF26-112B,64.133308,-114.2952495,376.837,0,-9999,subhygric,Wet,59,young-burned,42.3,9.28,51.58,13849.9,2450.23,16300.13,0.1,85.53
ZF26-118C,64.1244705,-114.2929825,359.23,0,-9999,mesic-subxeric,Moist,36,young-burned,5.2,8.54,13.74,1684.28,2812.4,4496.67,0.52,48.32
ZF26-54A,64.161929,-114.2563755,369.976,0,-9999,mesic-subhygric,Wet,126,old-burned,16.6,8.71,25.31,7528.19,3523.45,11051.64,0.32,933.71
ZF26-7A,64.142611,-114.2040955,387.016,8,0,mesic-subxeric,Moist,115,old-burned,3.15,10.61,13.76,1020.66,3484.73,4505.39,0.05,682.22
ZF26-96A,64.1534345,-114.266946,358.512,0,-9999,mesic-subxeric,Moist,132,old-burned,4.7,13.13,17.83,1873.87,4301.05,6174.92,0.23,570.26
ZF35-11A,64.0423425,-117.505186,225.388,0,-9999,mesic-subhygric,Wet,189,old-burned,20.3,13.77,34.07,19365.33,7495.07,26860.4,0.4,493.86
ZF35-29A,64.093375,-117.463737,225.872,0,-9999,mesic-subhygric,Wet,131,old-burned,22.7,10.53,33.23,5760.71,5245.9,11006.61,0.37,1018.41
ZF35-2A,64.0573895,-117.472852,205.832,0,-9999,mesic-subxeric,Moist,130,old-burned,4.35,17.62,21.97,2798.15,9098.46,11896.61,0.07,419.4
ZF35-37A,64.0439465,-117.4953895,214.048,0,-9999,subxeric,Dry,192,old-burned,2.05,9.4,11.45,353.32,2081.03,2434.35,0.15,398.75
ZF35-39A,64.0963715,-117.4606705,230.074,0,-9999,mesic,Moist,68,old-burned,4.7,8.87,13.57,3453.73,3451.26,6904.99,0.33,761.09
ZF35-9A,64.1092635,-117.471687,246.444,0,-9999,subhygric,Wet,130,old-burned,37,11.11,48.11,28623.4,5408.13,34031.53,0.38,1182.41
ZF44-16A,64.0982325,-117.2649265,207.683,3,190,mesic,Moist,198,old-burned,9.65,8.16,17.81,3049.66,2379.28,5428.94,0.75,2202.93
ZF44-37A,64.106324,-117.260634,212.662,15,118,xeric,Dry,205,old-burned,1.75,10.44,12.19,393.07,3505.43,3898.5,0.15,2475.5
ZF44-54A,64.140861,-117.198914,206.885,4,190,mesic-subxeric,Moist,36,young-burned,14.3,7.92,22.22,8160.58,2612.28,10772.87,0.43,535.01
ZF44-54B,64.1433335,-117.1995745,226.989,2,180,xeric,Dry,19,young-burned,2.9,5.96,8.86,2088.81,2305.1,4393.9,0.03,109.28
ZF44-5A,64.102634,-117.251944,204.054,0,-9999,subhygric,Wet,102,old-burned,41.2,9.08,50.28,10680.95,2404.7,13085.65,0.43,142.04
ZF44-71B,64.117952,-117.2001645,216.971,0,-9999,mesic-subhygric,Wet,47,young-burned,9.9,7.35,17.25,4489.82,2941.1,7430.92,2.5,776.03
ZF44-9A,64.1056975,-117.248699,224.302,0,-9999,subxeric,Dry,110,old-burned,3.7,8.67,12.37,1831.13,3237.19,5068.31,0.7,1207.08
ZF46-5A,62.482125,-116.6034215,270.914,0,-9999,mesic,Moist,118,old-burned,5.85,10.02,15.87,3052.49,4107.11,7159.6,2.1,2166.04
