burned_site_plot,latitude,longitude,sample_transect,sample_monolith,site_sample_transect,soil_depth_increment,increment_location,bottom_sol_material,field_sample_id,uciams_id,Delta14C,std_deviation,soil_class_pre-post_bomb,stand_age_rings,stand_year,X14C_yr_stand_age,stand_age_pre-post_bomb
SS33-3A,60.9377645,-117.3726535,0,1,SS33-3A.0,2,TOP,mineral,RC86,190142,81.2,2.1,post,90,1924,-12.88,pre
SS33-3A,60.9377645,-117.3726535,0,1,SS33-3A.0,12,BOTTOM,mineral,RC90,190133,40.9,2.4,post,90,1924,-12.88,pre
SS33-3A,60.9377645,-117.3726535,0,1,SS33-3A.0,1,TOP,mineral,RC85,190141,71.4,2.1,post,90,1924,-12.88,pre
SS33-3A,60.9377645,-117.3726535,12,2,SS33-3A.12,20,BOTTOM,mineral,RC30,192176,46.3,1.5,pre,90,1924,-12.88,pre
SS33-3A,60.9377645,-117.3726535,12,2,SS33-3A.12,1,TOP,mineral,RC25,192199,37.9,2,post,90,1924,-12.88,pre
SS33-3A,60.9377645,-117.3726535,12,2,SS33-3A.12,2,TOP,mineral,RC26,192175,111.2,1.5,post,90,1924,-12.88,pre
SS33-4A,60.942481,-117.3787555,6,1,SS33-4A.6,1,TOP,mineral,RC37,190147,60.4,2.3,post,105,1909,-7.7,pre
SS33-4A,60.942481,-117.3787555,6,1,SS33-4A.6,15,BOTTOM,NA,RC42,190144,33.4,1.8,pre,105,1909,-7.7,pre
SS33-4A,60.942481,-117.3787555,6,1,SS33-4A.6,2,TOP,NA,RC38,190149,106.1,2.3,post,105,1909,-7.7,pre
ZF104-110A,63.1091395,-113.9700465,24,1,ZF104-110A.24,1,TOP,ice,RC159,201125,22,1.9,post,56,1958,252,pre
ZF104-110A,63.1091395,-113.9700465,24,1,ZF104-110A.24,2,TOP,ice,RC160,201124,31.9,1.8,post,56,1958,252,pre
ZF104-110A,63.1091395,-113.9700465,24,1,ZF104-110A.24,25,BOTTOM,ice,RC162,201118,200.1,2,pre,56,1958,252,pre
ZF104-63B,63.0674515,-113.7326705,12,1,ZF104-63B.12,1,TOP,rock,RC176,201117,187.7,2,post,40,1974,400.8,post
ZF104-63B,63.0674515,-113.7326705,12,1,ZF104-63B.12,2,TOP,rock,RC177,201115,188.9,2,post,40,1974,400.8,post
ZF104-63B,63.0674515,-113.7326705,12,1,ZF104-63B.12,9,BOTTOM,rock,RC179,201102,68.8,2.2,pre,40,1974,400.8,post
ZF104-83B,63.0457815,-114.0243315,0,1,ZF104-83B.0,1,TOP,rock,RC147,201100,20.4,1.8,pre,54,1960,226.25,pre
ZF104-83B,63.0457815,-114.0243315,0,1,ZF104-83B.0,2,TOP,rock,RC148,201111,-14.3,1.8,pre,54,1960,226.25,pre
ZF104-83B,63.0457815,-114.0243315,0,1,ZF104-83B.0,10,BOTTOM,rock,RC150,201098,-124.5,2,pre,54,1960,226.25,pre
ZF20-10A,61.804575,-116.7246355,12,1,ZF20-10A.12,1,TOP,mineral,RC137,192178,99.7,1.5,pre,84,1930,-15.7,pre
ZF20-10A,61.804575,-116.7246355,12,1,ZF20-10A.12,2,TOP,mineral,RC138,195452,38.4,2.4,pre,84,1930,-15.7,pre
ZF20-10A,61.804575,-116.7246355,12,1,ZF20-10A.12,3,BOTTOM,mineral,RC139,192198,61.7,1.6,pre,84,1930,-15.7,pre
ZF20-10A,61.804575,-116.7246355,18,2,ZF20-10A.18,1,TOP,mineral,RC13,190137,182.6,2.4,pre,84,1930,-15.7,pre
ZF20-10A,61.804575,-116.7246355,18,2,ZF20-10A.18,2,TOP,mineral,RC14,190136,113.7,2.3,pre,84,1930,-15.7,pre
ZF20-10A,61.804575,-116.7246355,18,2,ZF20-10A.18,7,BOTTOM,mineral,RC18,190135,21.9,1.8,pre,84,1930,-15.7,pre
ZF20-35A,61.632408,-117.1014555,6,1,ZF20-35A.6,1,TOP,mineral,RC31,184405,92.1,1.9,post,95,1919,-10.7,pre
ZF20-35A,61.632408,-117.1014555,6,1,ZF20-35A.6,2,TOP,mineral,RC32,184404,192.8,2.1,post,95,1919,-10.7,pre
ZF20-35A,61.632408,-117.1014555,6,1,ZF20-35A.6,12,BOTTOM,mineral,RC36,184406,-8.8,1.8,pre,95,1919,-10.7,pre
ZF20-4A,61.862713,-116.597281,0,1,ZF20-4A.0,1,TOP,mineral,RC91,190132,37.1,1.9,pre,150,1864,-5,pre
ZF20-4A,61.862713,-116.597281,0,1,ZF20-4A.0,2,TOP,mineral,RC92,190127,-8.3,2,pre,150,1864,-5,pre
ZF20-4A,61.862713,-116.597281,0,1,ZF20-4A.0,9,BOTTOM,mineral,RC96,190129,-128.5,1.6,pre,150,1864,-5,pre
ZF20-52A,61.619818,-117.11774,12,1,ZF20-52A.12,1,TOP,mineral,RC55,184410,104,1.9,post,93,1921,-11.47,pre
ZF20-52A,61.619818,-117.11774,12,1,ZF20-52A.12,2,TOP,mineral,RC56,184412,163.1,2,post,93,1921,-11.47,pre
ZF20-52A,61.619818,-117.11774,12,1,ZF20-52A.12,6,BOTTOM,mineral,RC60,184413,56.7,1.9,pre,93,1921,-11.47,pre
ZF20-8A,61.83902,-116.636117,24,1,ZF20-8A.24,1,TOP,mineral,RC72,192166,61.7,1.6,post,89,1925,-13.35,pre
ZF20-8A,61.83902,-116.636117,24,1,ZF20-8A.24,2,TOP,mineral,RC73,192167,127.7,1.8,post,89,1925,-13.35,pre
ZF20-8A,61.83902,-116.636117,24,1,ZF20-8A.24,6,BOTTOM,mineral,RC77,192157,107.2,1.6,pre,89,1925,-13.35,pre
ZF20-9A,61.7935855,-116.7318445,0,1,ZF20-9A.0,1,TOP,mineral/rock,RC8,192173,177.2,2.3,pre,85,1929,-15.23,pre
ZF20-9A,61.7935855,-116.7318445,0,1,ZF20-9A.0,2,TOP,mineral/rock,RC9,192190,96.2,1.6,pre,85,1929,-15.23,pre
ZF20-9A,61.7935855,-116.7318445,0,1,ZF20-9A.0,7,BOTTOM,mineral/rock,RC12,192174,23.4,1.5,pre,85,1929,-15.23,pre
ZF20-9A,61.7935855,-116.7318445,12,2,ZF20-9A.12,1,TOP,mineral,RC115,192188,65.4,1.6,post,85,1929,-15.23,pre
ZF20-9A,61.7935855,-116.7318445,12,2,ZF20-9A.12,2,TOP,mineral,RC116,192191,87.3,1.7,post,85,1929,-15.23,pre
ZF20-9A,61.7935855,-116.7318445,12,2,ZF20-9A.12,8,BOTTOM,mineral,RC120,192193,187.1,1.7,post,85,1929,-15.23,pre
ZF26-104A,64.136594,-114.210953,0,1,ZF26-104A.0,1,TOP,mineral,RC78,192168,89.9,1.6,pre,78,1936,-18.52,pre
ZF26-104A,64.136594,-114.210953,0,1,ZF26-104A.0,2,BOTTOM,mineral,RC79,192169,-31.2,1.5,pre,78,1936,-18.52,pre
ZF26-112A,64.1329435,-114.291245,18,1,ZF26-112A.18,1,TOP,mineral,RC171,201126,147.8,2.3,pre,59,1955,16.6,pre
ZF26-112A,64.1329435,-114.291245,18,1,ZF26-112A.18,2,TOP,mineral,RC172,201116,85.2,1.9,pre,59,1955,16.6,pre
ZF26-112A,64.1329435,-114.291245,18,1,ZF26-112A.18,4,BOTTOM,mineral,RC174,201097,15.1,1.8,pre,59,1955,16.6,pre
ZF26-112B,64.133308,-114.2952495,6,1,ZF26-112B.6,1,TOP,ice,RC188,201122,27.7,1.8,post,59,1955,16.6,pre
ZF26-112B,64.133308,-114.2952495,6,1,ZF26-112B.6,2,TOP,ice,RC189,201123,39.9,1.9,post,59,1955,16.6,pre
ZF26-112B,64.133308,-114.2952495,6,1,ZF26-112B.6,42,BOTTOM,ice,RC191,201120,-175,1.9,pre,59,1955,16.6,pre
ZF26-118C,64.1244705,-114.2929825,24,1,ZF26-118C.24,1,TOP,mineral,RC181,201101,77.5,1.8,pre,36,1978,325.8,post
ZF26-118C,64.1244705,-114.2929825,24,1,ZF26-118C.24,2,TOP,mineral,RC182,201114,-13.9,1.9,pre,36,1978,325.8,post
ZF26-118C,64.1244705,-114.2929825,24,1,ZF26-118C.24,3,BOTTOM,mineral,RC183,201099,-69.6,1.7,pre,36,1978,325.8,post
ZF26-54A,64.161929,-114.2563755,12,1,ZF26-54A.12,1,TOP,rock,RC127,195450,147.4,2.6,post,126,1888,-4.9,pre
